School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),RetentionRate_4yr,Female_Majority,SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Percent of Students Earning >$25K (6 Yrs after Entry),Percent of Students Earning >$25K (10 Yrs after Entry),LowIncRatio_10yr,HighIncRatio_10yr,LowIncRatio_6yr,HighIncRatio_6yr,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry)
California State University-Stanislaus,CA,Public,51.95,115560.0,9855.0,17424.0,57.26,89.32,86.58,True,,,,,62.2,7559.999999999999,0.1316083206494165,0.0345002536783358,0.1380010147133434,0.0398782343987823,39300.0,48500.0
California State University-San Bernardino,CA,Public,50.66,119316.0,17037.0,19114.0,58.74,78.12,84.75,True,988.0,540.0,540.0,,61.2,7559.999999999999,0.1486177143863356,0.0379761695134119,0.1490285848447496,0.0376239948347713,37400.0,48800.0
California State Polytechnic University-Pomona,CA,Public,47.31,128124.0,27862.0,22365.0,67.4,64.81,87.03999999999999,False,1134.0,640.0,610.0,,70.39999999999999,8189.999999999999,0.10792477209102,0.0326968631110473,0.0900509654726868,0.0381882133371617,42900.0,58000.0
California State University-Chico,CA,Public,55.50000000000001,116184.0,15689.0,25073.0,65.14999999999999,90.17,83.5,True,1073.0,580.0,590.0,,66.5,7870.0,0.1237809930524571,0.0734909809420613,0.1140926763974759,0.0702402957486136,42900.0,55400.0
California State University-Dominguez Hills,CA,Public,44.11,118032.0,16013.0,15019.0,47.510000000000005,81.2,78.03999999999999,True,,,,,62.4,7609.999999999999,0.1241491288328233,0.0138637357147317,0.1525010928620495,0.0189845750327858,38300.0,48500.0
California State University-Fresno,CA,Public,56.06,114540.0,22334.0,17683.0,57.54,90.11,86.79,True,996.0,540.0,560.0,,60.2,7600.0,0.1379958807199785,0.0339840601773081,0.1362048894062864,0.0328199158234082,37200.0,48500.0
California State University-Fullerton,CA,Public,50.470000000000006,123972.0,36874.0,17791.0,68.67999999999999,67.62,88.94,True,1085.0,590.0,590.0,,66.0,7690.000000000001,0.1178337039648532,0.0344687313554265,0.1178065845853446,0.0455876769539512,38500.0,51800.0
California State University-East Bay,CA,Public,44.28,124284.0,13041.0,23357.0,46.75,73.28,78.02,True,,,,,71.1,8070.0,0.1477647419676405,0.0319760754543363,0.1647879763821793,0.0427881297446514,45200.0,58200.0
California State University-Long Beach,CA,Public,47.08,123252.0,34188.0,19846.0,73.33,42.120000000000005,88.89,True,1133.0,620.0,620.0,,65.7,7870.0,0.1202176202176202,0.0385807885807885,0.1195741195741195,0.0456885456885456,40000.0,53000.0
California State University-Los Angeles,CA,Public,44.87,122376.0,22820.0,15307.0,52.400000000000006,76.48,82.53,True,964.0,530.0,530.0,,63.2,7590.000000000001,0.1652059596844872,0.0146362839614373,0.1671779141104294,0.0197195442594215,37200.0,49900.0
California State University-Northridge,CA,Public,46.63,123816.0,34881.0,19794.0,54.620000000000005,65.81,83.48,True,1006.0,550.0,560.0,,63.3,7520.0,0.1378687537627935,0.0321378400848599,0.1603738424930477,0.0385596743212637,37400.0,49700.0
California State University-Sacramento,CA,Public,48.120000000000005,117888.0,29228.0,21576.0,53.580000000000005,83.09,84.11999999999999,True,1033.0,560.0,570.0,,69.0,7980.000000000001,0.1361023675927193,0.0392774052278636,0.1456480087587245,0.0431435609689338,41800.0,54200.0
University of California-Berkeley,CA,Public,69.81,216324.0,30796.0,39016.0,92.34,17.48,96.14,True,1437.0,790.0,740.0,760.0,75.5,8430.0,0.0879010261072866,0.0443564099233666,0.070690998831017,0.0369853227691908,57600.0,79000.0
University of California-Davis,CA,Public,84.5,185400.0,31142.0,35532.0,86.25,46.35,93.01,True,1299.0,730.0,670.0,650.0,70.39999999999999,8570.0,0.1044248924282319,0.0582171986384946,0.0831674266264209,0.0446021450131655,45300.0,68100.0
University of California-Irvine,CA,Public,82.78,197532.0,29627.0,34355.0,84.98,29.92,94.4,True,1339.0,750.0,680.0,620.0,71.1,8290.0,0.0781044317683194,0.057211327505316,0.0731427414183008,0.0418537145171633,44300.0,65800.0
University of California-Los Angeles,CA,Public,72.23,231432.0,31636.0,35497.0,91.29,14.330000000000002,95.63,True,,,,730.0,73.4,8450.0,0.0920154254646605,0.0475091667720318,0.0718169174358326,0.0425780756100644,52000.0,73200.0
University of California-Riverside,CA,Public,87.08,171972.0,22609.0,30561.0,77.29,65.78,90.96,True,1200.0,650.0,630.0,630.0,63.8,8040.000000000001,0.0890353399088858,0.0490512627714626,0.0946525719846079,0.0385244814012119,36800.0,55300.0
University of California-San Diego,CA,Public,85.78,198156.0,31827.0,33240.0,87.12,36.61,94.16,True,1387.0,770.0,710.0,710.0,72.89999999999999,8450.0,0.0804662707763848,0.0411600213655072,0.0708517925032205,0.0317654821378075,48200.0,69600.0
University of California-Santa Barbara,CA,Public,88.03999999999999,202740.0,23166.0,36492.0,83.98,36.7,90.83,True,1369.0,750.0,710.0,630.0,69.8,8139.999999999999,0.0735129068462401,0.0656565656565656,0.0684192350859017,0.0531813865147198,42800.0,62400.0
University of California-Santa Cruz,CA,Public,75.08,182568.0,17207.0,35925.0,75.55,64.73,84.92,False,1284.0,690.0,670.0,630.0,60.7,7530.0,0.0818852792468181,0.0724123903062707,0.0960655547161039,0.0646829778578485,38400.0,53800.0
California Institute of the Arts,CA,Private NonProfit,67.35,113436.0,762.0,74111.0,66.49000000000001,27.42,59.62,True,,,,,52.8,6070.0,0.1246719160104986,0.1312335958005249,0.1167979002624672,0.1115485564304462,34200.0,50600.0
California State University Maritime Academy,CA,Public,72.41,123948.0,907.0,28149.0,60.68,82.49,76.84,False,,,,,91.5,8830.0,0.0926130099228225,0.1091510474090407,0.1521499448732083,0.1124586549062844,76700.0,87800.0
Chapman University,CA,Private NonProfit,99.82,145296.0,7231.0,74336.0,80.01,58.26,85.11,True,1275.0,680.0,670.0,660.0,72.6,8050.0,0.1313787857834324,0.1294426773613608,0.0442539067902088,0.0991564099018116,46900.0,56600.0
Concordia University-Irvine,CA,Private NonProfit,100.0,86616.0,1703.0,53235.0,59.09,78.18,67.84,True,1128.0,600.0,610.0,545.0,63.8,7480.0,0.0739870816206694,0.1233118027011156,0.1256605989430416,0.1485613623018203,40800.0,50800.0
San Diego Christian College,CA,Private NonProfit,9.92,77232.0,449.0,47755.0,55.00000000000001,49.67,59.02,False,1016.0,548.0,550.0,510.0,50.5,6610.000000000001,0.1514476614699332,0.1514476614699332,0.3496659242761692,0.1714922048997773,31000.0,42500.0
Claremont McKenna College,CA,Private NonProfit,94.97,177828.0,1262.0,76475.0,92.28,13.34,87.03999999999999,True,1436.0,770.0,730.0,760.0,80.0,8980.0,0.0332805071315372,0.045958795562599,,0.0380348652931854,68200.0,93200.0
University of Silicon Valley,CA,Private ForProfit,36.0,92868.0,510.0,32382.0,45.71,41.94,63.16,False,,,,,59.0,8020.0,0.0392156862745098,,0.1431372549019607,0.0941176470588235,37600.0,60400.0
Columbia College Hollywood,CA,Private NonProfit,15.53,74676.0,760.0,35331.0,58.24,,50.64999999999999,False,,,,,46.1,5699.999999999999,0.0828947368421052,0.0539473684210526,0.1052631578947368,0.0697368421052631,26900.0,39500.0
Design Institute of San Diego,CA,Private ForProfit,,80004.0,124.0,42928.0,33.33,100.0,71.43,True,,,,,57.4,6290.0,0.4193548387096774,,0.4193548387096774,,33700.0,42300.0
Dominican University of California,CA,Private NonProfit,33.33,109200.0,1374.0,67366.0,74.33,85.74000000000001,86.77,True,1162.0,630.0,620.0,550.0,72.3,7800.0,0.1208151382823871,0.1251819505094614,0.1069868995633187,0.1550218340611353,54200.0,63600.0
Fresno Pacific University,CA,Private NonProfit,58.52,90456.0,2711.0,43317.0,67.36,66.94,71.26,True,1019.0,550.0,560.0,525.0,61.8,7340.000000000001,0.1184064920693471,0.0649206934710439,0.1914422722242715,0.0800442641091848,38400.0,45600.0
Golden Gate University,CA,Private NonProfit,100.0,115932.0,586.0,,,,,False,,,,,83.5,8730.0,0.0853242320819112,0.0494880546075085,0.0938566552901023,,72900.0,82300.0
Harvey Mudd College,CA,Private NonProfit,89.29,172692.0,827.0,79539.0,92.71,17.96,91.52,False,1534.0,800.0,770.0,760.0,85.6,8650.0,0.0241837968561064,0.1003627569528416,0.0241837968561064,0.0749697702539298,87200.0,104200.0
Holy Names University,CA,Private NonProfit,21.86,106884.0,703.0,57486.0,38.64,89.12,66.25,True,,,,,66.0,7820.0,0.1251778093883357,0.1052631578947368,0.2048364153627311,0.1280227596017069,49000.0,57600.0
