School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Monthly Salary,Student Enrollment Size,RetentionRate_4yr,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Female_Majority,MeanEarningsGenderDiff10
University of San Francisco,CA,Private NonProfit,41.83,11979.0,5810.0,76.44999999999999,69987.0,71.5,70.3,1248.0,670.0,660.0,620.0,58500.0,74000.0,True,11700.0
William Jessup University,CA,Private NonProfit,26.340000000000003,7366.0,1279.0,68.95,50819.0,52.580000000000005,65.21000000000001,,,,550.0,38400.0,45100.0,True,14000.0
San Jose State University,CA,Public,44.8,10645.0,27614.0,86.19,25747.0,65.58,67.36999999999999,1127.0,630.0,610.0,,47200.0,63800.0,False,10200.0
Santa Clara University,CA,Private NonProfit,68.17999999999999,12825.0,5606.0,92.51,74297.0,91.95,50.72,1367.0,750.0,700.0,,63900.0,85300.0,False,19000.0
Scripps College,CA,Private NonProfit,76.55999999999999,11938.0,930.0,80.21000000000001,77588.0,87.85,35.13,1406.0,750.0,730.0,730.0,44400.0,61800.0,True,
Shasta Bible College and Graduate School,CA,Private NonProfit,,4223.0,28.0,100.0,18260.0,75.0,100.0,,,,,,,False,
Simpson University,CA,Private NonProfit,100.0,6442.0,696.0,71.72,46394.0,42.5,59.72,1099.0,580.0,605.0,530.0,35100.0,39900.0,True,11100.0
Saint Mary's College of California,CA,Private NonProfit,24.49,10869.0,2461.0,81.01,69071.0,73.34,77.31,1174.0,623.0,630.0,610.0,48600.0,63600.0,True,11600.0
Sonoma State University,CA,Public,51.38,10468.0,7231.0,79.49000000000001,26537.0,60.09,89.12,1050.0,560.0,590.0,,41200.0,53200.0,True,7900.0
Vanguard University of Southern California,CA,Private NonProfit,95.4,8073.0,1995.0,74.64,48086.0,62.62,49.99,1050.0,560.0,580.0,,40700.0,48800.0,True,15600.0
Southern California Institute of Architecture,CA,Private NonProfit,57.49999999999999,11371.0,249.0,93.1,70734.0,76.47,67.30000000000001,1180.0,685.0,651.0,570.0,45300.0,44200.0,False,
University of Southern California,CA,Private NonProfit,61.83,15301.0,19521.0,91.28,77362.0,91.67,16.11,1441.0,790.0,740.0,750.0,61400.0,88800.0,True,17400.0
Thomas Aquinas College,CA,Private NonProfit,98.57,9216.0,462.0,93.16,38164.0,84.27,85.53,1297.0,660.0,720.0,700.0,30300.0,45900.0,False,
Epic Bible College & Graduate School,CA,Private NonProfit,37.93,2098.0,117.0,,,20.0,,,,,,29300.0,32600.0,True,
Walden University,MN,Private ForProfit,7.720000000000001,7193.0,7595.0,33.33,,,,,,,,46100.0,62500.0,True,28700.0
Westmont College,CA,Private NonProfit,63.68000000000001,9639.0,1226.0,74.57000000000001,64240.0,72.0,70.16,1259.0,680.0,690.0,640.0,38600.0,58000.0,True,15700.0
Whittier College,CA,Private NonProfit,73.08,8574.0,1488.0,72.82,61052.0,63.4,72.33000000000001,,,,560.0,37500.0,50900.0,True,8600.0
Woodbury University,CA,Private NonProfit,31.0,7598.0,1019.0,72.28,55032.0,60.28,70.39999999999999,,,,,37300.0,52100.0,True,7000.0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,Private NonProfit,52.94,6525.0,135.0,87.27000000000001,27734.0,14.81,72.86,,,,,,,False,
Adams State University,CO,Public,43.44,6348.0,1612.0,59.29,22317.0,32.14,99.88,1004.0,540.0,550.0,,28800.0,38100.0,False,12800.0
University of Colorado Denver/Anschutz Medical Campus,CO,Public,69.15,10471.0,11392.0,72.84,22702.0,44.440000000000005,66.3,1123.0,600.0,610.0,,48700.0,71200.0,True,16500.0
University of Colorado Colorado Springs,CO,Public,58.92,8061.0,9839.0,70.77,22169.0,44.97,89.61,,,,,37300.0,49300.0,True,14700.0
