School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
St Catherine University,52.5,89952.0,2914.0,50794.0,63.6,76.14999999999999,81.76,1122.0,0.0,0.0,1.0,0.0
Warner University,31.78,59532.0,815.0,34297.0,49.44,54.120000000000005,51.92,1070.7632174906514,0.0,0.0,1.0,0.0
Bethel University,100.0,40860.0,2461.0,30992.0,34.910000000000004,76.12,61.27,998.0,0.0,0.0,1.0,0.0
Millsaps College,79.59,94368.0,668.0,57996.0,68.08999999999999,69.81,69.95,1184.0,0.0,0.0,1.0,0.0
University of Tulsa,70.61,127656.0,2905.0,58637.0,72.54,69.22,83.76,1255.0,0.0,0.0,1.0,0.0
Wellesley College,79.62,149820.0,2260.0,75198.0,93.74,20.41,92.65,1446.0,0.0,0.0,1.0,0.0
Florida State University,84.99,133920.0,32384.0,22278.0,84.16,32.45,94.5,1308.0,0.0,0.0,0.0,1.0
Union University,60.34,89004.0,1959.0,54324.0,65.86,57.53,86.92,1242.0,0.0,0.0,1.0,0.0
California State University-Northridge,46.63,123816.0,34881.0,19794.0,54.620000000000005,65.81,83.48,1006.0,0.0,0.0,0.0,1.0
Eastern Connecticut State University,100.0,112020.0,4104.0,27425.0,55.92,69.69999999999999,76.02,1128.0903488476317,0.0,0.0,0.0,1.0
Williams Baptist University,100.0,65124.0,580.0,30063.0,37.8,69.3,52.53,1088.0,0.0,0.0,1.0,0.0
University of Nebraska Medical Center,84.64,110352.0,959.0,36883.43295435159,59.06978801116256,69.82971542047123,68.92390787348629,1262.0034920518217,0.0,0.0,0.0,1.0
Brandeis University,71.39999999999999,159588.0,3481.0,76044.0,89.23,33.4,89.69,1424.0,0.0,0.0,1.0,0.0
Lincoln University,100.0,107436.0,1892.0,26008.0,45.18,90.34,70.88,942.0,0.0,0.0,0.0,1.0
Cleary University,8.57,65004.0,509.0,35998.0,56.36,65.25999999999999,81.52000000000001,1048.5867365585118,0.0,0.0,1.0,0.0
Strayer University-District of Columbia,17.39,11916.0,610.0,29979.657653059738,25.0,74.16796214653654,53.27810284254324,1001.6647029608148,0.0,1.0,0.0,0.0
Pacific Oaks College,9.84,74976.0,496.0,36529.9362143977,39.15257356826566,26.67,62.31269378317809,1029.6137928890012,0.0,0.0,1.0,0.0
University of Delaware,97.98,158328.0,18618.0,28708.0,82.49,65.99000000000001,89.7,1254.0,0.0,0.0,0.0,1.0
Southwest Baptist University,53.36,69276.0,1954.0,35243.0,47.760000000000005,73.35000000000001,63.81,1110.0,0.0,0.0,1.0,0.0
Embry-Riddle Aeronautical University-Daytona Beach,92.83,117336.0,6399.0,54724.0,61.51,60.6,79.3,1240.0,0.0,0.0,1.0,0.0
Norfolk State University,100.0,100716.0,4977.0,26439.0,39.39,91.07,67.58999999999999,935.0,0.0,0.0,0.0,1.0
Mount Aloysius College,36.42,81384.0,1082.0,36886.0,46.07,95.24,75.89,1103.435182296788,0.0,0.0,1.0,0.0
Chamberlain University-Georgia,12.04,89988.0,1330.0,38903.0,33.33,35.29,100.0,1115.9802638005513,0.0,1.0,0.0,0.0
Prescott College,25.790000000000003,65076.0,413.0,43649.0,48.78,98.42,58.81999999999999,1141.0,0.0,0.0,1.0,0.0
Yeshiva Gedolah Imrei Yosef D'spinka,57.127744863226404,66312.0,187.0,14564.0,44.440000000000005,47.226950449039094,60.0,1081.5245368206745,0.0,0.0,1.0,0.0
Montana State University-Northern,100.0,70656.0,873.0,15933.0,35.2,71.51800387965116,69.89,1019.0003558853722,0.0,0.0,0.0,1.0
Mercy College,24.34,113880.0,6409.0,29754.0,48.17,81.96,73.57000000000001,1025.0,0.0,0.0,1.0,0.0
