School Name,Mean Earnings (10 Yrs after Entry)
Worcester State University,52400.0
University of Massachusetts-Amherst,57700.0
Oklahoma City University,51100.0
Missouri Southern State University,38100.0
University of Wisconsin-La Crosse,52500.0
Goucher College,55100.0
Inter American University of Puerto Rico-Arecibo,23500.0
Manhattan Christian College,38800.0
University of Wisconsin-Stevens Point,43600.0
Swarthmore College,70000.0
Sarah Lawrence College,48000.0
Baptist Health Sciences University,56000.0
The Art Institute of Virginia Beach,36000.0
Syracuse University,69200.0
CEM College-Humacao,22300.0
University of Mount Union,48600.0
SUNY Downstate Health Sciences University,169600.0
Centenary University,49700.0
Bellin College,62100.0
Tiffin University,47900.0
Alice Lloyd College,41600.0
Mount St. Mary's University,56600.0
Willamette University,57900.0
CUNY Medgar Evers College,39400.0
Mayville State University,43300.0
Clemson University,58900.0
Barton College,39400.0
Western Connecticut State University,50400.0
Millersville University of Pennsylvania,46000.0
Universidad Central de Bayamon,21600.0
Black Hills State University,40500.0
Andrews University,47800.0
DeVry University-Ohio,50300.0
Northern Vermont University,35600.0
Toccoa Falls College,32200.0
Brevard College,35300.0
Loma Linda University,93600.0
University of Wisconsin-Platteville,51200.0
Saint Louis Christian College,32300.0
Herzing University-Atlanta,41600.0
California State University-Long Beach,53000.0
Indiana University-East,34800.0
Smith College,51100.0
Central Christian College of the Bible,30600.0
University of Mary Washington,56200.0
Thomas Aquinas College,45900.0
Point Loma Nazarene University,54400.0
University of St Francis,56500.0
Shenandoah University,52300.0
Union College,47700.0
University of Arkansas for Medical Sciences,69000.0
DeVry University-North Carolina,50300.0
William Penn University,46400.0
Rivier University,49400.0
Chapman University,56600.0
University of New Orleans,43500.0
Aurora University,46200.0
Kean University,48400.0
Pomona College,77300.0
Taylor University,42600.0
Clarkson College,52900.0
Loyola Marymount University,71600.0
West Virginia University Institute of Technology,52700.0
University of Houston,60600.0
Middlebury College,71900.0
Colorado Christian University,44600.0
Waldorf University,42400.0
Le Moyne-Owen College,30200.0
Simmons University,58400.0
Saint John Fisher College,52500.0
Hampton University,50100.0
Mercyhurst University,44200.0
Harris-Stowe State University,30900.0
Mount Saint Mary College,51700.0
Western New England University,61300.0
Baylor University,58400.0
Belmont University,51500.0
Augustana University,49500.0
