School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Saint Joseph's College of Maine,100.0,76380.0,1151.0,52614.0,58.940000000000005,86.72999999999999,73.33,1081.0,0.0,0.0,1.0,0.0
SUM Bible College and Theological Seminary,18.03,36876.0,417.0,26346.0,50.0,55.78999999999999,61.42999999999999,941.0985342587182,0.0,0.0,1.0,0.0
University of Arkansas,88.25,119412.0,22624.0,23997.0,68.5,77.66999999999999,84.71,1236.0,0.0,0.0,0.0,1.0
Presentation College,59.650000000000006,64140.0,593.0,35087.0,47.12,93.21,50.72,1035.0,0.0,0.0,1.0,0.0
Grinnell College,83.27,136152.0,1490.0,70346.0,86.67,19.25,80.61,1448.0,0.0,0.0,1.0,0.0
Southern University at New Orleans,65.49000000000001,74028.0,1439.0,16762.0,18.84,72.0,41.63,925.0,0.0,0.0,0.0,1.0
Samford University,98.73,108084.0,3573.0,49634.0,77.2,83.99,87.11,1219.0,0.0,0.0,1.0,0.0
West Coast University-Los Angeles,20.27,105924.0,2413.0,49665.0,38.46,74.7668702804447,75.0,1141.5469893580168,0.0,1.0,0.0,0.0
SUNY at Purchase College,41.0,90036.0,3528.0,27991.0,61.29,73.7,78.58000000000001,1213.0,0.0,0.0,0.0,1.0
Beulah Heights University,11.43,53088.0,344.0,11650.0,7.41,66.19106862967631,90.0,991.4778359481195,0.0,0.0,1.0,0.0
Dartmouth College,82.63000000000001,187200.0,4146.0,77152.0,94.86,9.22,96.13,1500.0,1.0,0.0,1.0,0.0
St Olaf College,70.63000000000001,105588.0,2928.0,62880.0,84.82,50.81,90.94,1309.0,0.0,0.0,1.0,0.0
Oklahoma State University-Main Campus,88.74,112560.0,19782.0,23906.0,63.74999999999999,67.09,84.82,1186.0,0.0,0.0,0.0,1.0
Simmons University,26.53,96660.0,1731.0,60221.0,79.21000000000001,82.55,84.3,1168.0,0.0,0.0,1.0,0.0
Eastern New Mexico University-Main Campus,72.91,85308.0,3129.0,17897.0,36.15,50.6,61.09,1051.0,0.0,0.0,0.0,1.0
William & Mary,81.26,140028.0,6217.0,39595.0,91.25,42.16,92.91,1411.0,0.0,0.0,0.0,1.0
Bucknell University,96.0,139272.0,3684.0,75400.0,87.85,37.53,92.2,1353.0,0.0,0.0,1.0,0.0
Bellin College,69.77,91740.0,383.0,30000.0,65.22,95.71,82.14,1140.0,0.0,0.0,1.0,0.0
Saint Louis Christian College,23.08,41820.0,72.0,24180.0,54.55,70.27,75.0,1020.0,0.0,0.0,1.0,0.0
Houston Baptist University,50.0,84756.0,2727.0,43638.0,47.32,71.50999999999999,71.28,1101.0,0.0,0.0,1.0,0.0
Fontbonne University,37.65,87276.0,810.0,40906.0,65.77,85.36,78.25999999999999,1050.0,0.0,0.0,1.0,0.0
Saint Michael's College,100.0,97644.0,1501.0,61892.0,74.52,87.81,86.22,1154.0567279610075,0.0,0.0,1.0,0.0
Oklahoma Christian University,50.260000000000005,80160.0,1601.0,37015.0,59.52,61.21,77.53,1162.0,0.0,0.0,1.0,0.0
Naropa University,31.49,75972.0,318.0,51142.0,31.15,100.0,55.56,1050.2619355259744,0.0,0.0,1.0,0.0
Augusta University,71.41,107280.0,5322.0,20115.0,46.760000000000005,82.88,73.58,1121.0,0.0,0.0,0.0,1.0
New Mexico State University-Main Campus,76.67,107724.0,11107.0,19760.0,51.080000000000005,62.67,75.49,1050.0,0.0,0.0,0.0,1.0
Concord University,65.63,78348.0,1452.0,16824.0,37.65,91.4,63.93,972.0,0.0,0.0,0.0,1.0
Morningside University,100.0,84468.0,1184.0,45927.0,60.34,68.60000000000001,68.66,1072.6218670418657,0.0,0.0,1.0,0.0
Inter American University of Puerto Rico-Aguadilla,100.0,62316.0,3271.0,13424.0,32.41,42.71,68.01,968.8526684267381,0.0,0.0,1.0,0.0
University of Saint Joseph,96.38,103032.0,884.0,50959.0,56.38,78.02,82.67,1073.0,0.0,0.0,1.0,0.0
Marietta College,100.0,90204.0,1121.0,49601.0,52.66,73.91,77.3,1120.0,0.0,0.0,1.0,0.0
Five Towns College,20.16,63780.0,604.0,35154.0,46.28,47.0,67.44,1040.5679545758621,0.0,1.0,0.0,0.0
Alvernia University,100.0,87792.0,2034.0,49990.0,61.17,70.02000000000001,71.43,1063.6517801506664,0.0,0.0,1.0,0.0
National American University-Rapid City,0.0,50004.0,1098.0,23721.0,18.75,69.37468703150776,51.49986100601193,1021.6168399964458,0.0,1.0,0.0,0.0
University of North Carolina Wilmington,72.3,103296.0,14326.0,24837.0,73.52,67.97,84.08,1226.0,0.0,0.0,0.0,1.0
University of the Southwest,100.0,47808.0,370.0,27310.0,25.53,71.98008239004449,74.14,1065.1864948713192,0.0,0.0,1.0,0.0
Tarleton State University,63.52,91068.0,11893.0,22730.0,45.75,57.75,69.01,1044.0,0.0,0.0,0.0,1.0
Bridgewater College,81.08,79080.0,1552.0,51725.0,63.04,76.14,71.25,1082.0,0.0,0.0,1.0,0.0
Mary Baldwin University,23.06,82368.0,1395.0,43427.0,42.41,87.1,62.72,1042.0,0.0,0.0,1.0,0.0
Barnard College,78.09,170004.0,2744.0,77758.0,90.0,13.6,92.78,1447.0,0.0,0.0,1.0,0.0
SUNY College of Agriculture and Technology at Cobleskill,66.23,80652.0,2073.0,25633.0,43.21,80.0,76.02,1010.0,0.0,0.0,0.0,1.0
University of Illinois Urbana-Champaign,74.91,152772.0,33001.0,30302.0,86.2,63.3,93.85,1352.0,0.0,0.0,0.0,1.0
Strayer University-Pennsylvania,11.76,82632.0,1971.0,28284.0,0.0,84.95490798421682,40.0,1033.850337852014,0.0,1.0,0.0,0.0
Trinity Bible College and Graduate School,68.42,46488.0,146.0,28799.0,45.9,100.0,50.0,1095.0,0.0,0.0,1.0,0.0
Oral Roberts University,41.36,91284.0,3080.0,44006.0,55.66,78.39,78.4,1133.0,0.0,0.0,1.0,0.0
University of Virginia-Main Campus,94.89,179424.0,17076.0,34094.0,94.01,22.58,96.71,1426.0,0.0,0.0,0.0,1.0
CUNY New York City College of Technology,27.97,134484.0,14615.0,13563.0,18.49,79.07,61.71,1148.507769613132,0.0,0.0,0.0,1.0
Columbia Central University-Caguas,35.480000000000004,30756.0,682.0,10986.0,48.84,82.43509078959018,35.709999999999994,1007.910602457176,0.0,1.0,0.0,0.0
Buena Vista University,21.55,76968.0,1408.0,48297.0,62.19,55.67999999999999,73.91,1084.0687849893575,0.0,0.0,1.0,0.0
Christian Brothers University,96.88,87732.0,1374.0,43939.0,56.7,49.94,81.42,1190.0,0.0,0.0,1.0,0.0
Holy Cross College,39.13,69216.0,437.0,44469.0,55.19,77.02,67.86,1283.0,0.0,0.0,1.0,0.0
Saint Cloud State University,64.75,119532.0,7210.0,19635.0,44.81,73.22,67.0,1087.0,0.0,0.0,0.0,1.0
Brigham Young University,71.76,140736.0,33376.0,18936.0,75.44999999999999,69.25,91.64,1335.0,0.0,0.0,1.0,0.0
Georgian Court University,36.6,100080.0,1419.0,45458.0,57.02,80.9,80.75,1039.0,0.0,0.0,1.0,0.0
Salve Regina University,94.35,104208.0,2141.0,61072.0,75.92,74.62,82.87,1176.0367024981842,0.0,0.0,1.0,0.0
Bethel University,98.73,70224.0,1126.0,40149.0,62.27,92.79,73.92999999999999,1045.7673892910886,0.0,0.0,1.0,0.0
Capital University,45.94,100200.0,2226.0,47719.0,60.23,74.06,74.52,1095.3773881769307,0.0,0.0,1.0,0.0
East Tennessee State University,70.83,90468.0,10705.0,22323.0,49.63,78.38000000000001,77.88000000000001,1167.0,0.0,0.0,0.0,1.0
Glenville State University,59.6,69504.0,1227.0,22507.0,32.26,68.55509192977442,68.31,1039.3936608285853,0.0,0.0,0.0,1.0
Asbury University,48.17,79464.0,1399.0,42462.0,63.580000000000005,75.14999999999999,80.62,1203.0,0.0,0.0,1.0,0.0
Benedictine University,37.82,103632.0,2285.0,46006.0,46.03,60.99,66.86,1097.0,0.0,0.0,1.0,0.0
Curry College,37.580000000000005,123528.0,2164.0,57260.0,54.94,92.71,65.22,1055.0,0.0,0.0,1.0,0.0
Wartburg College,100.0,82356.0,1531.0,55508.0,68.32000000000001,71.72,82.37,1114.0,0.0,0.0,1.0,0.0
Northern State University,96.0,90468.0,1384.0,21388.0,45.22,78.71000000000001,75.96000000000001,1119.0,0.0,0.0,0.0,1.0
Pontifical Catholic University of Puerto Rico-Ponce,73.6,52332.0,4823.0,15895.0,45.45,91.2,77.56,994.3038003795514,0.0,0.0,1.0,0.0
College of Saint Mary,52.470000000000006,83772.0,672.0,31250.0,60.56,50.0,76.92,1055.712013762692,0.0,0.0,1.0,0.0
Northwest Missouri State University,77.02,88548.0,5151.0,20235.0,54.05,80.11,75.7,1104.0,0.0,0.0,0.0,1.0
Grand Canyon University,8.219999999999999,82440.0,62424.0,31376.0,46.57,80.69,73.55000000000001,1125.7876432189908,0.0,1.0,0.0,0.0
Indiana University-Southeast,52.26,86292.0,3993.0,17421.0,35.65,85.41,63.71,1055.0,0.0,0.0,0.0,1.0
California Aeronautical University,61.36000000000001,53688.0,269.0,42622.0,30.0,51.14184497544891,77.55,1021.3465180521202,0.0,1.0,0.0,0.0
Hood College,41.88,93852.0,1177.0,56168.0,60.760000000000005,71.33,74.69,1149.5856440980035,0.0,0.0,1.0,0.0
Union College,100.0,59316.0,927.0,39439.0,27.73,57.330000000000005,61.8,1035.0,0.0,0.0,1.0,0.0
Trinity College of Nursing & Health Sciences,92.31,74064.0,178.0,24749.663353838358,100.0,73.81392896495251,43.80883538991348,1056.206238065513,0.0,0.0,1.0,0.0
Quinnipiac University,42.46,135072.0,6787.0,66237.0,76.2,82.39,88.82,1323.9823110241741,0.0,0.0,1.0,0.0
United Talmudical Seminary,52.51,39552.0,2168.0,23926.0,50.29,70.01424353790799,92.87,1009.2060762816019,0.0,0.0,1.0,0.0
University of Arkansas at Pine Bluff,80.62,70620.0,2440.0,19541.0,38.92,59.66,74.17,900.0,0.0,0.0,0.0,1.0
